address,size,names,assemblyFile,fileByteOffset
0xac1848,88,_ZN7cocos2d24CanvasRenderingContext2D22recreateBufferIfNeededEv,text.asm,430510
0xac18a0,328,_ZN7cocos2d24CanvasRenderingContext2DD1Ev | _ZN7cocos2d24CanvasRenderingContext2DD2Ev,text.asm,431828
0xac19e8,268,_ZN28CanvasRenderingContext2DImpl14recreateBufferEff,text.asm,436581
0xac1af4,132,_ZN7cocos2d24CanvasRenderingContext2D4rectEffff,text.asm,440384
0xac1b78,280,_ZN28CanvasRenderingContext2DImpl4rectEffff,text.asm,442289
0xac1c90,132,_ZN7cocos2d24CanvasRenderingContext2D9clearRectEffff,text.asm,446248
0xac1d14,340,_ZN28CanvasRenderingContext2DImpl9clearRectEffff,text.asm,448158
0xac1e68,180,_ZN7cocos2d24CanvasRenderingContext2D8fillRectEffff,text.asm,452910
0xac1f1c,340,_ZN28CanvasRenderingContext2DImpl8fillRectEffff,text.asm,455493
0xac2070,204,_ZN7cocos2d24CanvasRenderingContext2D8fillTextERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEfff,text.asm,460272
0xac213c,396,_ZN28CanvasRenderingContext2DImpl8fillTextERKNSt6__ndk112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEEfff,text.asm,463246
0xac22c8,204,_ZN7cocos2d24CanvasRenderingContext2D10strokeTextERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEfff,text.asm,468926
0xac2394,400,_ZN28CanvasRenderingContext2DImpl10strokeTextERKNSt6__ndk112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEEfff,text.asm,471903
0xac2524,44,_ZN7cocos2d24CanvasRenderingContext2D11measureTextERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,477619
0xac2550,356,_ZN28CanvasRenderingContext2DImpl11measureTextERKNSt6__ndk112basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEE,text.asm,478381
0xac26b4,8,_ZN7cocos2d24CanvasRenderingContext2D20createLinearGradientEffff,text.asm,483519
0xac26bc,212,_ZN7cocos2d24CanvasRenderingContext2D4saveEv,text.asm,483691
0xac2790,204,_ZN7cocos2d24CanvasRenderingContext2D9beginPathEv,text.asm,486733
